Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8059,0,0,0,705,597,1023,1023,-1
0,0,0,8059,0,0,0,705,597,1023,1023,-1
1,0,0,8059,0,0,0,704,597,1023,1023,-1
2,0,0,8059,0,0,0,704,597,1023,1023,-1
3,0,0,8059,0,0,0,704,597,1023,1023,-1
3,0,0,8059,0,0,0,704,597,1023,1023,-1
4,0,0,8059,0,0,0,704,597,1023,1023,-1
5,0,0,8059,0,0,0,704,597,1023,1023,-1
5,0,0,8059,0,0,0,704,597,1023,1023,-1
6,0,0,8059,0,0,0,704,597,1023,1023,-1
7,0,0,8059,0,0,0,704,596,1023,1023,-1
8,0,0,8059,0,0,0,704,596,1023,1023,-1
8,0,0,8059,0,0,0,704,596,1023,1023,-1
9,0,0,8059,0,0,0,703,594,1023,1023,-1
10,0,0,8059,0,0,0,703,594,1023,1023,-1
11,0,0,7879,0,0,0,703,594,1023,1023,-1
12,0,0,7879,0,0,0,703,594,1023,1023,-1
13,0,0,7879,0,0,0,703,595,1023,1023,-1
14,0,0,7879,0,1,0,703,595,1023,1023,-1
15,0,0,7879,0,1,0,704,594,1023,1023,-1
15,0,0,7879,0,1,0,704,594,1023,1023,-1
16,0,0,7879,0,1,0,704,594,1023,1023,-1
17,0,0,7879,0,1,0,704,594,1023,1023,-1
18,0,0,7879,0,1,0,704,594,1023,1023,-1
18,0,0,7879,0,1,0,704,594,1023,1023,-1
19,0,0,7879,0,1,0,703,595,1023,1023,-1
20,0,0,7879,0,1,0,703,595,1023,1023,-1
21,0,0,7865,0,1,0,703,595,1023,1023,-1
21,0,0,7865,0,1,0,703,595,1023,1023,-1
22,0,0,7865,0,1,0,703,595,1023,1023,-1
23,0,0,7865,0,2,0,703,595,1023,1023,-1
25,0,0,7865,0,2,0,703,597,1023,1023,-1
26,0,0,7865,0,2,0,703,597,1023,1023,-1
26,0,0,7865,0,2,0,703,597,1023,1023,-1
27,0,0,7865,0,3,0,703,595,1023,1023,-1
28,0,0,7865,0,3,0,703,595,1023,1023,-1
29,0,0,7865,0,3,0,703,595,1023,1023,-1
29,0,0,7865,0,3,0,703,595,1023,1023,-1
30,0,0,7865,0,3,0,703,595,1023,1023,-1
31,0,0,7893,0,3,0,703,596,1023,1023,-1
32,0,0,7893,0,3,0,703,596,1023,1023,-1
32,0,0,7893,0,4,0,703,596,1023,1023,-1
33,0,0,7893,0,4,0,703,596,1023,1023,-1
34,0,0,7893,0,4,0,703,596,1023,1023,-1
35,0,0,7893,0,4,0,703,596,1023,1023,-1
35,0,0,7893,0,4,0,703,596,1023,1023,-1
39,0,0,7893,0,5,0,704,596,1023,1023,-1
40,0,0,7893,0,5,0,704,596,1023,1023,-1
41,0,0,7934,0,6,0,703,596,1023,1023,-1
41,0,0,7934,0,6,0,703,596,1023,1023,-1
42,0,0,7934,0,6,0,703,596,1023,1023,-1
43,0,0,7934,0,6,0,703,597,1023,1023,-1
44,0,0,7934,0,7,0,703,597,1023,1023,-1
44,0,0,7934,0,7,0,703,597,1023,1023,-1
45,0,0,7934,0,7,0,703,597,1023,1023,-1
46,0,0,7934,0,7,0,703,597,1023,1023,-1
46,0,0,7934,0,7,0,703,597,1023,1023,-1
47,0,0,7934,0,7,0,704,597,1023,1023,-1
48,0,0,7934,0,8,0,704,597,1023,1023,-1
49,0,0,7934,0,8,0,704,596,1023,1023,-1
